0,6A1,E6,A,1,"SITOR-ARQ is a common mode of data communications in the maritime service. It is a system based on transmission bursts and acknowledgements. What is the baud, and interval between the burst transmissions:","100 baud, 240 ms interval","50 baud, 1000 us interval","200 baud, 10 ms interval",None of the above,A,0
0,6A2,E6,A,1,Weather information is commonly sent by radio in map form by one-way facsimile transmission. Two common parameters which must be set by the receiving station are:,"Lines-per-inch (LPI), and primary scan direction (PSD)","Frequency shift (FS), and phase response pattern (PRP)","Black-mode signal (BMS), and frequency jitter tolerance (FJT)","Index of cooperation (IOC), and revolutions per minute (RPM)",D,0
0,6A3,E6,A,1,2182 kHz is the international radiotelephone distress frequency. It is also used for a calling channel. The authorized mode of emission is H3E (single-sideband full carrier). A3E (double-sideband full carrier) is only authorized for equipment:,Solely intended for distress and safety communications,Built and sold after the GMDSS implementation date,Built and sold before the GMDSS implementation date,Solely intended for ship-to-shore public correspondence,A,0
0,6A4,E6,A,1,"Ship's power is generated as 3-phase and is ungrounded. On a delta-wound transformer with 120 VAC line-to-line secondary, what is the voltmeter reading from line to ground:",Approx 67 volts for a normal balanced system with no faults,0 VAC for a system with that phase faulted to ground,120 VAC when another phase is faulted to ground,Any of the above,D,0
0,6A5,E6,A,1,"When passing through areas of static charge, high voltages can accumulate on antennas which are insulated from ground. What protects a connected receiver from damage?",Lightning arresters and suppressors,Protection diodes on receiver input,Capacitive coupling and static dissipative circuits,Any combination of the above,D,0
0,6A6,E6,A,1,Vertical shipboard antennas for use in the MF band (410-525 kHz) are often fitted with top-hat loading sections. What is the purpose of these structures?,Provides aerodynamic compensation for stress during high winds,Permits a physically short antenna to appear electrically longer,Improves the near-field radiated pattern at the expense of the far-field pattern,Prevents salt build-up on antennas from shunting RF energy to ground,B,0
0,6A7,E6,A,1,"Modern reserve transmitters are solid-state designs and transmit using only A2 modulation. When measuring transmitter center frequency, what precaution must be taken:",Antenna must be grounded to suppress spurious side-lobes,Modulation must be reduced to zero to eliminate sidebands,Voltage to the PA must be kept at half-value,Antenna current must be reduced to about 2.5 uA,B,0
0,6A8,E6,A,1,Voltage may be expressed by what other expression?,Difference of potential,IF drop,Electromotive force,All of the above,D,0
0,6A9,E6,A,1,Amperage may also be known by:,Electron flow,Electron drift,Electric current flow,All of the above,D,0
0,6A10,E6,A,1,Factors which determine the amplitude of the voltage induced in a conductor which is cutting magnetic lines of force:,Flux density,Velocity that the conductor cuts the magnetic lines of force,The angle at which the conductor cuts through the magnetic lines of force,All of the above,D,0
0,6A11,E6,A,1,An electrical potential may be generated by:,Varying a magnetic field through a circuit,Chemical action,Photo-electric action,All of the above,D,0
0,6A12,E6,A,1,Ohm's law is stated as:,E = IR,I = E / R,R = E / I,All of the above,D,0
0,6A13,E6,A,1,The unit of electrical power is:,Watt,Joule per second,Both A & B,None of the above,C,0
0,6A14,E6,A,1,The unit of conductance is:,Ohm,Mho,Henry,Ampere,B,0
0,6A15,E6,A,1,The unit of inductance is:,Henry,Joule,Coulomb,Ohm,A,0
0,6A16,E6,A,1,The ratio of current through a conductor to the voltage which produces it is:,Inductance,Conductance,Resistance,None of the above,B,0
0,6A17,E6,A,1,The product of the number of turns and the current in amperes used to describe relative magnitude is:,Ampere turns,Joules per second,Push-pull convergence,Dissipation collection,A,0
0,6A18,E6,A,1,The property of a conductor or coil which causes a voltage to be developed across its terminals when the number of magnetic lines of force in the circuit or coil is changed is:,Capacitance,Inductance,Conductance,None of the above,B,0
0,6A19,E6,A,1,The charge of electricity which passes a given point in one second when a current of one ampere is flowing is:,Coulomb,Joule,Watt,None of the above,A,0
0,6A20,E6,A,1,C = capacity in farads. Q = the measure of the quantity of charge of electricity in Coulombs. E = the applied voltage. So Q = CE:,Determines the quantity of charge in a capacitor,Determines the Q of a circuit,Both A & B,None of the above,A,0
0,6A21,E6,A,1,Resistance is:,The quantity which determines power loss or dissipation,The factor of proportionality between voltage and current,Measured in ohms,All of the above,D,0
0,6A22,E6,A,1,The unit of AC impedance in a circuit is:,Ohm,Mho,Joule,None of the above,A,0
0,6A23,E6,A,1,The unit of capacitance is:,Farad,Microfarad,Coulomb,A & B,D,0
0,6A24,E6,A,1,Decibel is:,The unit used to express the ratio between two sound power levels,The unit used to express the ratio between two electrical power levels,Both A & B,None of the above,C,0
0,6A25,E6,A,1,What factors determine the charge stored in a capacitor?,Capacitance of the capacitor,The applied voltage,Both A & B,None of the above,C,0
0,6A26,E6,A,1,"Ohm's law for AC circuits when I = amperes, E = volts, Z = impedance in volts is:",I = E/Z,E = IZ,Z= Z/I,All of the above,D,0
0,6A27,E6,A,1,The formula for determining the power in a DC circuit when the voltage and resistance are known is:,P = ( E squared) R,P = EI,P = ( I squared) R,PF = W/IE,A,0
0,6A28,E6,A,1,The formula for finding power in a DC circuit when current and resistance are known:,P = IE,P = ( I Squared) R,PF = W/IE,None of the above,B,0
0,6A29,E6,A,1,The formula for finding power in a DC circuit when current and voltage are known:,P = EI,P = ( I squared ) R,PF = W/IE,None of the above,A,0
0,6A30,E6,A,1,"The prefix "" kilo "" means:",To multiply by 1000 whatever quantity follows,To divide by 1000 whatever quantity follows,To add 1000 to whatever quantity follows,None of the above,A,0
0,6A31,E6,A,1,"The prefix "" micro "" means:","Divide by 1,000,000 whatever quantity follows","Multiply by 1,000,000 whatever quantity follows","Add 1,000,000 to whatever quantity follows","Divide by 1,000 whatever quantity follows",A,0
0,6A32,E6,A,1,The factor by which the product of volts and amperes must be multiplied to obtain true power is:,Power factor,Apparent power,Phase angle,None of the above,A,0
0,6A33,E6,A,1,"The prefix "" meg "" means:","Multiply by 1,000,000 whatever quantity follows","Multiply by 100,000 whatever quantity follows","Multiply by 1,000 whatever quantity follows","Divide by 1,000,000 whatever quantity follows",A,0
