0,8-1A1,E8,A,1,Choose the most correct statement containing the parameters which control the size of the target echo.,"Transmitted power, antenna effective area, transmit and receive losses, RADAR cross section of the target, range to target.","Height of antenna, power radiated, size of target, receiver gain, pulse width.","Power radiated, antenna gain, size of target, shape of target, pulse width, receiver gain.","Magnetron gain, antenna gain, size of target, range to target, wave-guide loss.",A,0
0,8-1A2,E8,A,1,Which of the following has NO effect on the maximum range capability?,Carrier frequency.,Recovery time.,Pulse repetition frequency.,Receiver sensitivity.,B,0
0,8-1A3,E8,A,1,What type of transmitter power is measured over a period of time?,Average.,Peak.,Reciprocal.,Return.,A,0
0,8-1A4,E8,A,1,What RADAR component controls timing throughout the system?,Power supply.,Indicator.,Synchronizer.,Receiver.,C,0
0,8-1A5,E8,A,1,Which of the following components allows the use of a single antenna for both transmitting and receiving?,Mixer.,Duplexer.,Synchronizer.,Modulator.,B,0
0,8-1A6,E8,A,1,The sweep frequency of a RADAR indicator is determined by what parameter?,Carrier frequency.,Pulse width.,Duty cycle.,Pulse repetition frequency.,D,0
0,8-2A1,E8,A,2,A radio wave will travel a distance of three nautical miles in:,6.17 microseconds.,37.0 microseconds.,22.76 microseconds.,18.51 microseconds.,D,0
0,8-2A2,E8,A,2,One RADAR mile is how many microseconds?,6.2,528,12.34,0.186,C,0
0,8-2A3,E8,A,2,RADAR range is measured by the constant:,150 meters per microsecond.,150 yards per microsecond.,300 yards per microsecond.,18.6 miles per microsecond.,A,0
0,8-2A4,E8,A,2,"If a target is 5 miles away, how long does it take for the RADAR echo to be received back at the antenna?",51.4 microseconds.,123 microseconds.,30.75 microseconds.,61.7 microseconds.,D,0
0,8-2A5,E8,A,2,How long would it take for a RADAR pulse to travel to a target 10 nautical miles away and return to the RADAR receiver?,12.34 microseconds.,1.234 microseconds.,123.4 microseconds.,10 microseconds.,C,0
0,8-2A6,E8,A,2,What is the distance in nautical miles to a target if it takes 308.5 microseconds for the RADAR pulse to travel from the RADAR antenna to the target and back.,12.5 nautical miles.,25 nautical miles.,50 nautical miles.,2.5 nautical miles.,B,0
0,8-3A1,E8,A,3,Frequencies generally used for marine RADAR are in the ___ part of the radio spectrum.,UHF,EHF,SHF,VHF,C,0
0,8-3A2,E8,A,3,Practical RADAR operation requires the use of microwave frequencies so that:,Stronger target echoes will be produced.,Ground clutter interference will be minimized.,Interference to other communication systems will be eliminated.,Non-directional antennas can be used for both transmitting and receiving.,A,0
0,8-3A3,E8,A,3,An S-band RADAR operates in which frequency band?,1 - 2 GHz.,4 - 8 GHz.,8 - 12 GHz.,2 - 4 GHz.,D,0
