id,question_label,element_id,subelement_id,key_topic_id,question_text,answer_one,answer_two,answer_three,answer_four,correct_answer,seen,explanation
0,9-1A1,E9,A,1,"What are the correct VHF Channels and Frequencies for Calling/Distress, DSC and bridge-to-bridge operations?","Ch-16, 156.800 MHz, Ch-70, 156.525 MHz and Ch-13, 156.650 MHz.","Ch-06, 156.300 MHz, Ch-16, 156.800 MHz and Ch-13, 156.650 MHz.","Ch-08, 156.400 MHz, Ch-70, 156.525 MHz and Ch-16, 156.800 MHz.","Ch-06, 156.300 MHz, Ch-12, 156.600 MHz and Ch-13, 156.650 MHz.",A,0,
0,9-1A2,E9,A,1,What is the frequency separation between Transmit and Receive frequencies on a duplex channel?,2.8 MHz,4.6 MHz, 6.4 MHz,10.7 MHz,B,0,
0,9-1A3,E9,A,1,What is the assigned channel spacing for VHF channels?,10 kHz,15 kHz,25 kHz,50 kHz,C,0,
0,9-1A4,E9,A,1,What is the allowed frequency tolerance for the DSC carrier frequencies?,10 Hz,20 Hz,5 ppm,10 ppm,D,0,
0,9-1A5,E9,A,1,Using a frequency counter with an accuracy of 2 ppm - which of the following are within legal tolerance for the frequencies of 156.800 MHz and 156.525 MHz?,"156,798.758 kHz and 156.526.243 kHz.","156,798.735 kHz and 156,526.258 kHz.","156,801.567 kHz and 156,526.476 kHz.","156,798.635 kHz and 156,523.352 kHz",A,0,
0,9-1A6,E9,A,1,Using a frequency counter with an accuracy of 5 ppm - which of the following are within legal tolerance for the frequencies of 156.875 MHz and 157.200?,"156,873.562 kHz and 157,198.264 kHz.","156,875.774 kHz and 157.199.321 kHz.","156,876.562 kHz and 157,201.355 kHz.","156,873.336 kHz and 157,201.570 kHz.",B,0,
0,9-2A1,E9,A,2,What is the purpose of the USA-INT switch?,To provide for simplex operations with European Public Correspondence stations.,To provide for duplex operations with U.S. Public Correspondence stations.,To change from duplex to simplex operation on designated channels in European waters.,To change from duplex to simplex operation on designated channels in U.S. waters.,D,0,
0,9-2A2,E9,A,2,What may happen if the USA-INT control is left on INT when in U.S. waters?,Your signals will be heard but other station replies will not be heard on certain channels.,You will be able to communicate with public correspondence stations on Channel 5.,Other stations will not be able to hear your transmissions and you will not hear any signals.,You will not be able to operate on channel 13.,A,0,
0,9-2A3,E9,A,2,What is the purpose of the Dual Watch function?,Allows simultaneous reception on two different channels.,To rapidly switch the radio's receiver between two channels.,Allows reception and transmission at the same time.,It allows you to monitor both sides of a public correspondence station's communication.,B,0,
0,9-2A4,E9,A,2,What is the proper adjustment of the squelch control for maximum sensitivity?,Maximum clockwise rotation.,Maximum counterclockwise rotation.,Just below the point where the noise breaks through.,The squelch has no effect on the sensitivity.,C,0,
0,9-2A5,E9,A,2,Which of the following transmitter power levels are permitted by FCC rules?,"Low Power: 0.1 W, High Power: 5 W","Low Power: 0.5 W, High Power: 25 W","Low Power: 1 W, High Power: 25 W","Low Power: 5 W, High Power: 50 W",C,0,
0,9-2A6,E9,A,2,Which of the following controls is not found on a VHF-DSC transceiver?,"""Distress""","""Cancel""","""Squelch""","""R.I.T.""",D,0,
0,9-3A1,E9,A,3,"Which of the following best describes the ""Capture effect?""",The receiver will accept all signals near the operating frequency.,The receiver will reject all but the weakest signal.,The receiver will reject all but the strongest signal.,The receiver will modulate an adjacent transmitter.,C,0,
0,9-3A2,E9,A,3,Which of the following may be adjusted in a FM ratio detector for improved signal-to-noise?,The diode detector,Input signal to the two diodes,Input voltage to the transistor,Ratio Arm balance control bridge,D,0,
0,9-3A3,E9,A,3,What is the function of a properly adjusted limiter circuit?,Maintains a constant output amplitude with a varying input amplitude.,Limits the level of RF output power in the final amplifier stage.,Limits the modulation input amplitude while amplifying the modulation output.,Controls the DC input voltage excursions of the final amplifier stage.,A,0,
0,9-3A4,E9,A,3,Which of the following are true about SINAD measurements?,SINAD is the product of the signal and noise divided by the sum of the noise and distortion.,"SINAD is the sum of the signal, noise and distortion divided by the sum of the noise and distortion.","SINAD is the sum of the noise and distortion divided by the sum of the signal, noise and distortion.",SINAD is the product of the noise and distortion divided by the sum of the signal and noise.,B,0,
0,9-3A5,E9,A,3,What would be considered a normal sensitivity for 10 db of quieting in a VHF marine receiver?,0.1 microvolt,1 microvolt,5 microvolts,10 microvolts,B,0,
0,9-3A6,E9,A,3,"What is meant by ""full quieting"" in a FM VHF receiver?",Adjusting the squelch control to eliminate background noise.,The rapid decrease in SINAD and noise with increasing signal level.,The received signal is strong enough to completely quiet the receiver background noise.,The rapid improvement in SINAD and decrease in noise with decreasing signal level.,C,0,
0,9-4A1,E9,A,4,What condition may prevent a VHF radio receiver from staying tuned to the desired channel?,The local oscillator frequency is beating against the incoming signal to produce an Intermediate Frequency (IF).,The output signal of the Phase Locked Loop (PLL) circuit in the frequency synthesizer has become unlocked.,The discriminator circuit is alternately developing positive and negative voltages at the modulation frequency.,The ratio detector circuit is producing a variable output that deviates across the receiver's dynamic range.,B,0,
0,9-4A2,E9,A,4,What fault may exist if a VHF radio receiver fails to produce audible output from the speaker and the squelch control has no effect?,A component in the RF amplifier stage has failed or the signal from a preceding stage is grounded.,The Local Oscillator stage is no longer supplying a signal to the mixer stage at the correct frequency.,The AF amplifier may be defective or the transmitter Push-To-Talk circuit may be activated.,The mixer stage is no longer producing an output signal on the correct Intermediate Frequency (IF).,C,0,
0,9-4A3,E9,A,4,What is indicated if a VHF radio fails to receive nearby stations and a voltmeter connected between the positive side of a radio's DC line and ground reads zero line voltage? The fuse in the VHF radio also reads zero when checked with an ohmmeter.,The antenna may be defective or water intrusion has affected antenna system performance.,"The coaxial transmission line may be open, shorted, or a connector has become intermittent.",A fault in the discriminator circuit is producing zero output voltage during peak modulation.,"A ""crowbar"" circuit has prevented an over current condition that might damage the radio.",D,0,
0,9-4A4,E9,A,4,What fault may exist if a VHF radio receiver fails to produce audible output from the speaker and the squelch control has no effect?,The AF amplifier may be defective or the transmitter Push-To-Talk circuit may be activated.,A component in the RF amplifier stage has failed or the signal from a preceding stage is grounded.,The Local Oscillator stage is no longer supplying a signal to the mixer stage at the correct frequency.,The mixer stage is no longer producing an output signal on the correct Intermediate Frequency (IF).,A,0,
0,9-4A5 ,E9,A,4,What condition may prevent a VHF radio receiver from receiving a weak signal?,The local oscillator frequency is beating against the incoming signal to produce an Intermediate Frequency (IF).,The output signal of the Phase Locked Loop (PLL) circuit in the frequency synthesizer has become unlocked.,The output signal of an AF amplifier stage is greater than the input signal.,The weak RF signal has been suppressed at the limiter stage of the received by capture effect.,D,0,
0,9-4A6,E9,A,4,Which of the following is the best test procedure to isolate the source of distortion in the audio output of a receiver?,Use an oscilloscope to visually display AC signals on the output of each AF amplifier stage.,Use a spectrum analyzer to visually display the amplitude and frequency of each AF amplifier stage input.,Use a signal generator to inject a 1 KHz signal into the first AF amplifier stage and evaluate audio output.,Use a digital voltmeter to measure transistor bias voltages in each AF amplifier stage.,A,0,
0,9-5A1,E9,A,5,What condition may cause a significant loss in VHF receiver sensitivity?,A reading of 9.6 when a voltmeter is connected between the positive side of the radio's DC line and ground.,The presence of a -90dbm signal measured at the 2nd IF output with the receiver tuned to the desired input frequency.,An internal signal that is very weak in comparison to the desired signal at the output of the second IF stage.,Replacing (75 ohm) RG-59/U coaxial transmission line with a (50 ohm) RG-8/U or LMR-400 Ultraflex cable.,A,0,
